date,open,high,low,close,volume
2025-07-07,32.2,32.25,31.85,31.89,535022
2025-07-08,31.9,32.78,31.87,32.72,1038973
2025-07-09,32.66,33.26,32.6,32.86,951518
2025-07-10,32.86,33.5,32.86,33.12,897593
2025-07-11,33.13,33.64,32.94,33.44,998075
2025-07-14,33.45,33.49,33.18,33.19,545887
2025-07-15,33.18,33.96,33.1,33.5,1132784
2025-07-16,33.68,33.85,33.12,33.24,709838
2025-07-17,33.18,34.66,33.1,34.53,1565780
2025-07-18,34.64,34.75,34.12,34.22,828133
2025-07-21,34.22,34.34,33.94,34.25,726884
2025-07-22,34.11,34.2,33.73,33.95,701189
2025-07-23,33.89,34.24,33.75,33.89,692324
2025-07-24,33.89,34.85,33.81,34.67,1035034
2025-07-25,34.64,34.65,34.08,34.39,660622
2025-07-28,34.53,34.67,34.27,34.47,554737
2025-07-29,34.13,35.78,33.51,35.09,1490591
2025-07-30,34.96,35.1,34.36,34.6,765812
2025-07-31,34.59,35.47,34.17,34.29,1135878
2025-08-01,34.23,34.58,33.56,33.9,785985
2025-08-04,33.6,33.88,33.59,33.87,379288
2025-08-05,33.93,34.55,33.93,34.42,614925
2025-08-06,34.35,35.05,34.08,34.55,604127
2025-08-07,34.54,34.69,34.02,34.19,598500
2025-08-08,34.16,34.19,33.75,33.78,484312
2025-08-11,33.79,34.16,33.78,34.0,500378
2025-08-12,34.0,34.65,33.89,34.55,832619
2025-08-13,34.55,35.5,34.51,35.5,1610778
2025-08-14,35.42,35.56,34.78,34.81,1028186
2025-08-15,34.7,35.29,34.7,35.21,790528
2025-08-18,35.45,38.73,35.45,38.31,3859223
2025-08-19,37.76,38.17,37.37,37.8,2106640
2025-08-20,38.1,40.39,37.42,39.94,3379238
2025-08-21,43.53,43.93,42.3,42.56,5105601
2025-08-22,43.5,46.68,42.5,46.55,4436296
2025-08-25,47.58,47.9,44.48,45.84,4476640
2025-08-26,45.01,45.98,44.36,45.02,2422692
2025-08-27,45.3,46.58,44.0,44.1,2888878
2025-08-28,44.0,47.44,43.75,47.42,3533706
2025-08-29,46.11,46.35,45.0,45.44,2659285
2025-09-01,46.37,48.88,46.0,48.0,3228638
2025-09-02,47.66,48.2,44.05,44.83,3021997
2025-09-03,44.82,45.33,43.36,43.94,1850780
