date,open,high,low,close,volume
2025-07-07,14.2,14.33,14.14,14.22,229116
2025-07-08,14.28,14.46,14.16,14.19,339786
2025-07-09,14.15,14.18,13.75,13.78,681358
2025-07-10,13.87,13.92,13.73,13.78,380459
2025-07-11,13.8,13.96,13.8,13.87,470169
2025-07-14,14.54,15.26,14.54,15.22,2336957
2025-07-15,14.99,15.2,14.82,15.2,1094266
2025-07-16,15.0,15.17,14.92,15.06,441160
2025-07-17,15.05,15.3,14.9,14.99,594233
2025-07-18,14.96,15.18,14.89,15.15,484621
2025-07-21,15.2,15.4,15.05,15.3,575235
2025-07-22,15.49,16.04,15.48,15.78,908076
2025-07-23,16.0,16.1,15.82,15.89,670559
2025-07-24,15.11,15.27,14.61,15.19,3370640
2025-07-25,14.9,15.09,14.85,14.92,1552355
2025-07-28,14.85,14.92,14.73,14.81,781071
2025-07-29,14.73,14.76,14.56,14.68,643954
2025-07-30,14.75,14.85,14.62,14.73,651368
2025-07-31,14.55,14.56,14.25,14.32,840375
2025-08-01,14.34,14.5,14.31,14.45,467267
2025-08-04,14.71,14.91,14.62,14.88,1197363
2025-08-05,14.91,15.03,14.76,14.78,733876
2025-08-06,14.85,14.92,14.78,14.83,530441
2025-08-07,14.9,14.99,14.75,14.97,626270
2025-08-08,15.04,15.14,14.96,15.03,754305
2025-08-11,14.81,14.82,14.6,14.62,943333
2025-08-12,14.6,14.68,14.55,14.57,472957
2025-08-13,14.59,14.76,14.57,14.76,802527
2025-08-14,14.76,14.88,14.59,14.66,838234
2025-08-15,14.52,14.69,14.46,14.62,680729
2025-08-18,14.61,14.64,14.44,14.5,929944
2025-08-19,14.45,14.49,14.33,14.36,716314
2025-08-20,14.28,14.43,14.2,14.43,644130
2025-08-21,14.49,14.65,14.44,14.52,756904
2025-08-22,14.51,14.57,14.42,14.5,481452
2025-08-25,14.68,15.15,14.66,15.15,1698528
2025-08-26,15.15,15.32,15.04,15.27,806208
2025-08-27,15.4,15.47,15.08,15.09,1018904
2025-08-28,15.21,15.45,14.99,15.27,793710
2025-08-29,15.75,16.03,15.61,15.97,1818016
2025-09-01,16.4,17.57,16.28,17.57,2290244
2025-09-02,18.07,18.12,17.56,17.76,2287156
2025-09-03,18.53,18.75,17.93,18.17,1947576
