date,open,high,low,close,volume
2025-07-07,329.2,330.49,328.44,328.59,88208
2025-07-08,327.0,329.78,325.72,326.88,116918
2025-07-09,326.9,328.21,325.78,325.8,121633
2025-07-10,325.81,326.09,318.85,321.23,210022
2025-07-11,319.9,326.85,319.02,323.91,168270
2025-07-14,323.91,323.91,317.56,318.49,172309
2025-07-15,318.2,325.0,318.0,323.05,162791
2025-07-16,323.06,325.91,323.06,323.72,110758
2025-07-17,325.0,328.72,324.1,328.02,156891
2025-07-18,329.13,329.5,325.25,329.11,136866
2025-07-21,327.99,334.12,327.26,334.12,153945
2025-07-22,335.0,342.01,333.21,341.69,214164
2025-07-23,342.09,343.0,337.0,338.07,158907
2025-07-24,338.08,346.54,337.63,342.72,189063
2025-07-25,341.0,341.4,335.0,337.93,157041
2025-07-28,337.93,339.1,335.53,337.0,117057
2025-07-29,112.01,112.5,109.77,111.42,387360
2025-07-30,108.05,111.16,107.12,108.7,524834
2025-07-31,108.2,108.2,105.0,105.24,599499
2025-08-01,104.95,106.24,104.36,105.8,362337
2025-08-04,104.0,105.14,102.57,104.88,412937
2025-08-05,104.88,105.21,103.78,104.86,338350
2025-08-06,104.86,105.0,103.9,104.35,305620
2025-08-07,104.27,106.43,104.16,105.33,428763
2025-08-08,105.0,105.03,103.91,103.93,326615
2025-08-11,103.88,105.66,103.23,105.52,356698
2025-08-12,105.4,106.43,104.7,105.67,312195
2025-08-13,106.29,107.65,105.84,106.83,459830
2025-08-14,107.37,107.5,105.79,106.37,419548
2025-08-15,105.85,106.64,105.32,106.07,361353
2025-08-18,105.66,109.49,105.66,108.37,619252
2025-08-19,108.67,108.92,107.18,107.63,389735
2025-08-20,107.18,108.26,106.01,108.25,385053
2025-08-21,107.8,108.83,107.0,107.1,449464
2025-08-22,107.11,110.97,107.11,110.66,763120
2025-08-25,111.31,112.49,110.31,111.61,611628
2025-08-26,111.75,114.69,110.71,113.75,692916
2025-08-27,113.96,114.06,110.66,110.68,689747
2025-08-28,109.39,110.19,107.11,109.32,762522
2025-08-29,108.88,116.59,108.12,114.06,1144902
2025-09-01,108.5,111.48,108.5,109.7,1329867
2025-09-02,108.79,111.1,108.6,110.02,773224
2025-09-03,110.5,110.73,107.01,107.21,735223
