date,open,high,low,close,volume
2025-07-07,53.38,53.59,52.56,52.65,286388
2025-07-08,52.69,53.69,52.5,53.4,359263
2025-07-09,53.4,57.94,53.02,57.19,1158212
2025-07-10,57.13,58.28,56.61,57.6,903716
2025-07-11,57.51,58.12,56.88,56.9,658632
2025-07-14,56.75,58.05,56.56,57.21,473758
2025-07-15,57.25,57.53,56.52,57.22,436928
2025-07-16,57.65,58.9,57.04,57.22,398191
2025-07-17,56.9,57.9,56.84,57.73,444146
2025-07-18,58.21,59.86,57.9,58.76,660986
2025-07-21,58.5,58.8,57.68,58.0,509442
2025-07-22,58.0,58.85,57.2,57.41,475570
2025-07-23,57.2,58.08,56.87,57.13,425295
2025-07-24,57.44,57.98,56.95,57.5,465834
2025-07-25,57.5,57.55,56.35,56.4,505394
2025-07-28,60.1,62.04,59.66,62.04,1630096
2025-07-29,63.0,65.43,62.13,63.8,1682769
2025-07-30,63.81,64.73,62.65,63.59,980849
2025-07-31,63.4,64.25,62.5,62.9,742039
2025-08-01,62.83,63.58,60.76,61.31,734655
2025-08-04,60.6,62.05,60.0,62.0,689613
2025-08-05,62.11,62.46,61.56,62.3,541443
2025-08-06,62.19,62.55,61.38,61.58,572479
2025-08-07,61.25,62.1,60.7,60.81,504764
2025-08-08,60.7,61.13,60.0,60.99,362971
2025-08-11,60.99,61.42,60.68,61.07,425752
2025-08-12,61.32,61.45,60.26,60.85,391835
2025-08-13,60.85,63.51,60.85,62.61,815296
2025-08-14,62.85,63.6,62.36,62.82,571266
2025-08-15,62.64,64.27,62.46,63.4,614933
2025-08-18,63.4,63.95,62.81,63.08,728858
2025-08-19,63.4,65.4,61.63,61.69,997700
2025-08-20,61.66,62.97,61.11,62.85,650424
2025-08-21,63.98,65.33,62.95,63.99,858629
2025-08-22,64.71,65.2,63.83,64.98,637719
2025-08-25,64.98,66.4,64.37,66.26,849234
2025-08-26,66.2,66.2,65.0,65.3,575129
2025-08-27,65.01,65.71,63.04,63.05,836169
2025-08-28,62.95,63.22,61.41,63.03,715902
2025-08-29,63.03,66.87,63.03,66.23,1023186
2025-09-01,66.4,68.88,65.92,68.35,872181
2025-09-02,69.8,70.77,67.8,68.87,1084490
2025-09-03,68.8,73.42,68.8,71.98,1129369
