date,open,high,low,close,volume
2025-07-07,8.71,9.0,8.69,8.96,1278339
2025-07-08,8.94,9.02,8.9,8.97,738919
2025-07-09,8.97,9.06,8.94,8.98,551831
2025-07-10,8.99,9.3,8.96,9.25,1083640
2025-07-11,9.25,9.29,9.15,9.17,610838
2025-07-14,9.17,9.2,9.02,9.03,509667
2025-07-15,9.04,9.06,8.86,8.93,719160
2025-07-16,8.93,8.97,8.82,8.86,609257
2025-07-17,8.68,8.73,8.68,8.7,465634
2025-07-18,8.71,8.86,8.7,8.81,527384
2025-07-21,8.81,8.86,8.77,8.84,421473
2025-07-22,8.85,9.01,8.76,9.0,743985
2025-07-23,8.99,9.14,8.93,8.96,670560
2025-07-24,8.93,9.26,8.91,9.17,1014104
2025-07-25,9.15,9.4,9.13,9.38,1168227
2025-07-28,9.33,9.43,9.16,9.39,785296
2025-07-29,9.35,9.43,9.27,9.35,464577
2025-07-30,9.33,9.49,9.19,9.22,848536
2025-07-31,9.18,9.22,8.67,8.7,1542789
2025-08-01,8.7,8.73,8.65,8.66,517477
2025-08-04,8.66,8.7,8.62,8.69,395975
2025-08-05,8.69,8.8,8.68,8.78,533264
2025-08-06,8.75,8.8,8.72,8.78,306089
2025-08-07,8.75,8.9,8.72,8.87,516436
2025-08-08,8.86,8.89,8.82,8.87,299055
2025-08-11,8.94,9.0,8.88,8.89,396160
2025-08-12,8.9,8.94,8.83,8.87,356511
2025-08-13,8.89,8.91,8.82,8.84,346952
2025-08-14,8.85,9.09,8.84,8.9,726705
2025-08-15,8.9,9.19,8.89,9.17,945165
2025-08-18,9.16,9.2,9.03,9.05,744186
2025-08-19,9.1,9.23,9.09,9.18,766217
2025-08-20,9.13,9.25,9.08,9.24,602752
2025-08-21,9.21,9.27,9.16,9.18,429381
2025-08-22,9.18,9.21,9.1,9.17,446973
2025-08-25,9.2,9.7,9.19,9.41,1854810
2025-08-26,9.34,9.39,9.28,9.34,560252
2025-08-27,9.31,9.34,9.02,9.02,702267
2025-08-28,9.08,9.11,8.89,9.06,550808
2025-08-29,9.15,9.24,9.1,9.15,628831
2025-09-01,9.3,9.45,9.12,9.35,1112193
2025-09-02,9.34,9.41,9.12,9.24,606449
2025-09-03,9.24,9.27,9.02,9.03,488439
