date,open,high,low,close,volume
2025-07-07,120.21,120.52,119.81,119.91,85811
2025-07-08,119.85,120.87,119.83,120.78,116631
2025-07-09,120.83,122.85,120.49,121.6,203496
2025-07-10,121.03,122.88,120.9,122.58,162716
2025-07-11,122.57,124.98,122.22,124.3,287189
2025-07-14,124.36,125.54,123.4,125.41,219140
2025-07-15,124.82,125.52,124.32,125.0,193328
2025-07-16,124.6,125.88,124.6,125.28,178699
2025-07-17,125.28,126.11,124.87,125.82,172999
2025-07-18,122.88,124.65,121.86,123.78,210209
2025-07-21,123.78,123.79,122.25,122.56,187784
2025-07-22,122.56,125.89,122.56,125.53,303772
2025-07-23,125.7,126.88,125.13,125.2,229067
2025-07-24,125.15,125.76,124.5,125.55,156012
2025-07-25,125.55,125.6,123.47,123.54,184007
2025-07-28,123.52,124.17,122.0,124.06,178511
2025-07-29,123.5,123.99,122.2,123.52,185151
2025-07-30,123.56,125.15,123.28,124.52,224124
2025-07-31,124.02,124.1,120.85,121.15,304687
2025-08-01,121.14,121.62,120.39,121.0,123226
2025-08-04,120.63,121.23,120.45,120.92,85933
2025-08-05,120.95,122.22,120.95,121.95,139446
2025-08-06,121.97,122.5,121.49,122.16,119684
2025-08-07,122.13,123.14,121.95,122.55,115703
2025-08-08,122.55,122.88,121.96,122.22,82426
2025-08-11,122.15,124.35,122.11,123.94,182660
2025-08-12,123.9,125.33,123.01,123.19,211374
2025-08-13,123.01,123.47,122.52,123.19,155823
2025-08-14,123.18,124.85,122.77,122.84,199063
2025-08-15,122.54,123.3,121.9,123.1,193943
2025-08-18,123.1,124.66,122.81,123.75,255301
2025-08-19,123.77,125.75,123.77,124.41,327242
2025-08-20,124.42,126.5,123.35,125.78,404310
2025-08-21,125.8,126.13,124.86,125.45,231895
2025-08-22,125.45,125.82,124.95,125.79,204850
2025-08-25,126.18,130.09,126.18,129.93,479800
2025-08-26,129.93,131.85,128.65,129.74,349794
2025-08-27,129.5,129.5,126.6,126.62,346847
2025-08-28,126.61,127.2,124.0,125.47,345835
2025-08-29,126.18,129.8,126.12,129.53,435251
2025-09-01,130.0,130.1,127.52,128.87,316942
2025-09-02,128.41,131.12,128.11,128.56,349162
2025-09-03,129.0,131.5,126.67,126.99,257352
