date,open,high,low,close,volume
2025-07-07,16.92,17.11,16.89,17.05,312956
2025-07-08,17.05,17.19,16.97,17.15,427708
2025-07-09,17.15,17.51,17.12,17.18,490301
2025-07-10,17.09,17.5,17.06,17.46,583690
2025-07-11,17.53,17.99,17.41,17.69,898730
2025-07-14,17.75,17.9,17.63,17.77,512737
2025-07-15,17.77,18.03,17.67,17.8,624269
2025-07-16,17.8,17.85,17.45,17.52,443088
2025-07-17,17.53,17.62,17.41,17.61,373011
2025-07-18,17.61,18.25,17.6,18.08,848365
2025-07-21,18.0,18.85,17.9,18.7,1031203
2025-07-22,18.62,18.86,18.4,18.79,639320
2025-07-23,18.78,19.75,18.75,19.54,1585335
2025-07-24,19.35,20.14,19.35,20.07,1272872
2025-07-25,20.07,20.1,19.8,19.93,748978
2025-07-28,19.92,20.4,19.75,20.02,899959
2025-07-29,19.9,20.0,19.65,19.92,651293
2025-07-30,19.9,20.15,19.56,19.76,632896
2025-07-31,19.68,19.81,19.05,19.19,939463
2025-08-01,19.21,19.89,19.05,19.34,922041
2025-08-04,19.28,19.66,19.27,19.38,553485
2025-08-05,19.45,19.75,19.35,19.63,664556
2025-08-06,19.63,19.84,19.58,19.71,478947
2025-08-07,19.66,19.89,19.5,19.56,466503
2025-08-08,19.57,19.85,19.3,19.71,652662
2025-08-11,19.6,19.92,19.6,19.71,531487
2025-08-12,19.8,20.17,19.74,20.09,677801
2025-08-13,20.22,20.85,20.09,20.54,1046489
2025-08-14,20.54,21.35,20.46,20.74,1136197
2025-08-15,20.69,21.77,20.59,21.28,1302409
2025-08-18,21.36,21.37,20.71,20.91,1389938
2025-08-19,20.7,21.0,20.62,20.71,573379
2025-08-20,20.6,21.07,20.51,21.01,611366
2025-08-21,21.23,21.28,20.77,20.9,589168
2025-08-22,20.85,22.5,20.81,22.42,1402882
2025-08-25,22.5,22.55,21.86,22.3,1126936
2025-08-26,22.11,22.19,21.86,21.98,625916
2025-08-27,21.98,22.06,21.17,21.19,928491
2025-08-28,21.09,21.81,21.07,21.75,748945
2025-08-29,21.81,22.13,21.67,21.88,839434
2025-09-01,21.99,22.04,21.64,21.67,681238
2025-09-02,21.72,21.85,21.12,21.31,617224
2025-09-03,21.32,21.46,20.48,20.63,709934
2025-09-04,20.63,20.78,20.06,20.34,663880
2025-09-05,20.41,20.65,20.18,20.55,506842
